rule_hit_id,transaction_id,account_id,customer_id,rule_code,rule_severity,hit_ts,evidence
GEO_INTL_ECOM,,,,,,,
RH-000001,TXN-20260124-000016,ACC-00091217,ACC-00091175,GEO_INTL_ECOM,HIGH,1/12/2026 11:50:55,country=GB; city=London; channel=ECOM
RH-000002,TXN-20260124-000023,ACC-00091101,ACC-00091114,GEO_INTL_ECOM,HIGH,9/16/2025 4:06:38,country=NG; city=Abuja; channel=ECOM
RH-000003,TXN-20260124-000025,ACC-00091029,ACC-00091134,GEO_INTL_ECOM,HIGH,8/12/2025 14:44:39,country=BR; city=Sao Paulo; channel=ECOM
RH-000004,TXN-20260124-000032,ACC-00091108,ACC-00091070,GEO_INTL_ECOM,HIGH,11/30/2025 22:00:27,country=NG; city=Lagos; channel=ECOM
RH-000005,TXN-20260124-000057,ACC-00091056,ACC-00091045,GEO_INTL_ECOM,HIGH,9/14/2025 14:38:28,country=GB; city=Edinburgh; channel=ECOM
RH-000006,TXN-20260124-000079,ACC-00091106,ACC-00091018,GEO_INTL_ECOM,HIGH,8/16/2025 12:05:25,country=IN; city=Mumbai; channel=ECOM
RH-000007,TXN-20260124-000091,ACC-00091017,ACC-00091033,GEO_INTL_ECOM,HIGH,9/5/2025 16:30:17,country=AU; city=Sydney; channel=ECOM
RH-000008,TXN-20260124-000094,ACC-00091217,ACC-00091013,GEO_INTL_ECOM,HIGH,9/16/2025 10:45:00,country=BR; city=Sao Paulo; channel=ECOM
RH-000009,TXN-20260124-000103,ACC-00091119,ACC-00091169,GEO_INTL_ECOM,HIGH,10/21/2025 7:42:22,country=AU; city=Sydney; channel=ECOM
RH-000010,TXN-20260124-000109,ACC-00091076,ACC-00091011,GEO_INTL_ECOM,HIGH,11/22/2025 3:49:33,country=CA; city=Vancouver; channel=ECOM
RH-000011,TXN-20260124-000122,ACC-00091191,ACC-00091060,GEO_INTL_ECOM,HIGH,11/12/2025 10:15:19,country=GB; city=London; channel=ECOM
RH-000012,TXN-20260124-000127,ACC-00091182,ACC-00091258,GEO_INTL_ECOM,HIGH,7/28/2025 17:03:48,country=IN; city=Mumbai; channel=ECOM
RH-000013,TXN-20260124-000142,ACC-00091196,ACC-00091242,GEO_INTL_ECOM,HIGH,12/27/2025 11:14:49,country=FR; city=Paris; channel=ECOM
RH-000014,TXN-20260124-000143,ACC-00091184,ACC-00091146,GEO_INTL_ECOM,HIGH,1/10/2026 17:36:28,country=FR; city=Paris; channel=ECOM
RH-000015,TXN-20260124-000175,ACC-00091225,ACC-00091190,GEO_INTL_ECOM,HIGH,10/7/2025 10:17:44,country=DE; city=Berlin; channel=ECOM
RH-000016,TXN-20260124-000189,ACC-00091216,ACC-00091138,GEO_INTL_ECOM,HIGH,11/20/2025 0:21:58,country=IN; city=Mumbai; channel=ECOM
RH-000017,TXN-20260124-000197,ACC-00091019,ACC-00091120,GEO_INTL_ECOM,HIGH,8/28/2025 10:56:00,country=BR; city=Sao Paulo; channel=ECOM
RH-000018,TXN-20260124-000201,ACC-00091003,ACC-00091228,GEO_INTL_ECOM,HIGH,8/19/2025 0:17:17,country=JP; city=Tokyo; channel=ECOM
RH-000019,TXN-20260124-000213,ACC-00091034,ACC-00091216,GEO_INTL_ECOM,HIGH,8/13/2025 22:43:50,country=DE; city=Berlin; channel=ECOM
RH-000020,TXN-20260124-000217,ACC-00091039,ACC-00091150,GEO_INTL_ECOM,HIGH,1/13/2026 22:01:10,country=BR; city=Sao Paulo; channel=ECOM
RH-000021,TXN-20260124-000235,ACC-00091225,ACC-00091166,GEO_INTL_ECOM,HIGH,9/24/2025 4:36:06,country=AU; city=Sydney; channel=ECOM
RH-000022,TXN-20260124-000250,ACC-00091057,ACC-00091232,GEO_INTL_ECOM,HIGH,11/16/2025 20:47:59,country=NG; city=Abuja; channel=ECOM
RH-000023,TXN-20260124-000260,ACC-00091250,ACC-00091138,GEO_INTL_ECOM,HIGH,1/18/2026 2:49:26,country=MX; city=Mexico; channel=ECOM
RH-000024,TXN-20260124-000270,ACC-00091046,ACC-00091153,GEO_INTL_ECOM,HIGH,11/18/2025 19:45:17,country=MX; city=Mexico; channel=ECOM
