session_id,customer_id,device_id,login_ts,ip_address,geo_country,geo_region,geo_city,mfa_result,login_result
SES-20260124-000001,CUST-000782,DEV-10300,2026-01-24 01:09:53,228.0.160.232,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000002,CUST-000935,DEV-10009,2025-11-27 23:23:00,38.86.214.198,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000003,CUST-000944,DEV-10053,2025-09-22 20:01:38,81.185.150.16,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000004,CUST-000794,DEV-10186,2025-10-08 07:16:19,77.62.36.23,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000005,CUST-000807,DEV-10268,2025-11-27 21:31:31,181.142.254.114,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000006,CUST-000816,DEV-10038,2025-08-14 15:57:13,184.246.169.66,US,WA,Seattle,PASSED,SUCCESS
SES-20260124-000007,CUST-000928,DEV-10200,2025-11-21 19:56:54,191.250.96.230,US,CO,TX,PASSED,SUCCESS
SES-20260124-000008,CUST-000968,DEV-10189,2025-08-21 17:05:55,11.238.200.92,US,NY,New York,PASSED,SUCCESS
SES-20260124-000009,CUST-000854,DEV-10267,2025-11-08 16:19:14,97.65.209.188,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000010,CUST-000972,DEV-10090,2026-01-12 04:36:02,106.128.145.113,US,CO,Denver,FAILED,FAILED
SES-20260124-000011,CUST-000821,DEV-10135,2025-10-17 14:17:00,178.53.69.236,FR,IDF,Paris,PASSED,SUCCESS
SES-20260124-000012,CUST-000971,DEV-10033,2025-09-26 19:43:28,188.211.142.115,US,CA,Los Angeles,PASSED,SUCCESS
SES-20260124-000013,CUST-000860,DEV-10222,2025-09-19 21:49:22,180.191.196.153,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000014,CUST-000837,DEV-10251,2025-12-16 00:28:35,202.162.72.189,US,WA,Seattle,PASSED,SUCCESS
SES-20260124-000015,CUST-000856,DEV-10252,2025-12-13 06:54:20,238.149.6.145,GB,ENG,London,FAILED,FAILED
SES-20260124-000016,CUST-000864,DEV-10035,2025-12-28 06:13:10,155.214.150.76,US,GA,Atlanta,PASSED,SUCCESS
SES-20260124-000017,CUST-000872,DEV-10187,2026-01-07 04:41:56,185.213.3.166,US,TX,Dallas,NOT_USED,SUCCESS
SES-20260124-000018,CUST-000785,DEV-10210,2025-10-26 08:01:19,57.88.233.53,US,IL,Chicago,PASSED,SUCCESS
SES-20260124-000019,CUST-000809,DEV-10040,2025-10-08 07:39:55,184.109.96.242,US,CA,San Francisco,FAILED,FAILED
SES-20260124-000020,CUST-000843,DEV-10004,2025-10-13 12:43:22,178.150.45.24,US,CO,Denver,PASSED,SUCCESS
SES-20260124-000021,CUST-000800,DEV-10292,2025-11-15 13:38:09,137.116.234.116,US,AZ,Phoenix,FAILED,FAILED
SES-20260124-000022,CUST-000926,DEV-10317,2025-11-29 07:26:37,199.151.240.134,US,TX,San Antonio,PASSED,SUCCESS
SES-20260124-000023,CUST-000915,DEV-10185,2025-08-12 20:59:06,216.244.122.143,US,TX,Austin,PASSED,SUCCESS
SES-20260124-000024,CUST-000806,DEV-10200,2026-01-14 10:04:02,219.151.231.156,US,AZ,Phoenix,PASSED,SUCCESS
SES-20260124-000025,CUST-000821,DEV-10201,2025-12-15 19:16:49,99.189.227.96,NG,FC,Abuja,PASSED,SUCCESS
SES-20260124-000026,CUST-000791,DEV-10015,2026-01-21 22:08:44,154.151.12.76,US,NY,New York,PASSED,SUCCESS
SES-20260124-000027,CUST-000868,DEV-10087,2025-12-09 17:57:57,77.63.224.238,US,NY,New York,PASSED,SUCCESS
