transaction_id,account_id,customer_id,merchant_id,device_id,txn_ts,channel,currency, amount_usd ,txn_status,decline_reason,geo_country,geo_region,geo_city,is_international,rule_geo_intl_ecom,rule_high_risk_merchant,rule_low_trust_device,rule_high_amount,rule_decline_flag,rule_velocity_flag,rule_decline_streak_24h
TXN-20260124-000001,ACC-00091169,ACC-00091058,MER-10011,DEV-10259,12:30:21 PM,ECOM,USD, $ 162 ,APPROVED,,US,WA,Seattle,FALSE,0,1,0,0,0,0,0
TXN-20260124-000002,ACC-00091028,ACC-00091038,MER-10094,DEV-10213,2:45:22 PM,CARD_PRESENT,USD," $ 2,782 ",APPROVED,,US,CA,Los Angeles,FALSE,0,1,0,1,0,0,0
TXN-20260124-000003,ACC-00091162,ACC-00091031,MER-10012,DEV-10095,10:29:24 AM,ECOM,USD," $ 1,136 ",APPROVED,,US,CA,San Francisco,FALSE,0,0,0,0,0,0,0
TXN-20260124-000004,ACC-00091053,ACC-00091184,MER-10037,DEV-10146,8:35:32 AM,ECOM,USD, $ 649 ,APPROVED,,US,IL,Chicago,FALSE,0,0,1,0,0,0,0
TXN-20260124-000005,ACC-00091103,ACC-00091133,MER-10023,DEV-10010,6:55:49 AM,ECOM,USD," $ 2,064 ",APPROVED,,US,AZ,Phoenix,FALSE,0,1,0,1,0,0,0
TXN-20260124-000006,ACC-00091229,ACC-00091011,MER-10032,DEV-10138,1:59:00 PM,ECOM,USD, $ 64 ,APPROVED,,US,NY,New York,FALSE,0,1,0,0,0,0,0
TXN-20260124-000007,ACC-00091030,ACC-00091101,MER-10041,DEV-10148,10:59:03 AM,CARD_PRESENT,USD, $ 295 ,APPROVED,,US,TX,Austin,FALSE,0,0,0,0,0,0,0
TXN-20260124-000008,ACC-00091033,ACC-00091173,MER-10101,DEV-10248,9:06:58 AM,ECOM,USD," $ 1,415 ",APPROVED,,US,NY,New York,FALSE,0,0,0,0,0,0,0
TXN-20260124-000009,ACC-00091031,ACC-00091165,MER-10020,DEV-10288,10:02:56 AM,ACH,USD, $ 806 ,APPROVED,,FR,IDF,Paris,TRUE,1,1,0,0,0,0,0
TXN-20260124-000010,ACC-00091209,ACC-00091059,MER-10108,DEV-10001,7:14:27 AM,CARD_PRESENT,USD, $ 818 ,APPROVED,,US,TX,Austin,FALSE,0,1,0,0,0,0,0
TXN-20260124-000011,ACC-00091076,ACC-00091038,MER-10029,DEV-10282,2:43:44 AM,CARD_PRESENT,USD, $ 242 ,APPROVED,,US,IL,Chicago,FALSE,0,0,1,0,0,0,0
TXN-20260124-000012,ACC-00091020,ACC-00091211,MER-10079,DEV-10245,9:39:42 PM,ECOM,USD," $ 1,488 ",APPROVED,,US,GA,Atlanta,FALSE,0,0,0,0,0,0,0
TXN-20260124-000013,ACC-00091097,ACC-00091014,MER-10020,DEV-10132,8:20:18 PM,ACH,USD," $ 3,618 ",APPROVED,,US,IL,Chicago,FALSE,0,1,0,1,0,0,0
TXN-20260124-000014,ACC-00091069,ACC-00091136,MER-10071,DEV-10309,7:03:39 AM,CARD_PRESENT,USD," $ 1,606 ",DECLINED,DO_NOT_HONOR,US,AZ,Phoenix,FALSE,0,0,0,1,1,0,0
TXN-20260124-000015,ACC-00091228,ACC-00091253,MER-10013,DEV-10279,12:27:44 AM,CARD_PRESENT,USD, $ 223 ,APPROVED,,US,TX,San Antonio,FALSE,0,0,0,0,0,0,0
TXN-20260124-000016,ACC-00091217,ACC-00091175,MER-10032,DEV-10020,11:50:55 AM,ECOM,USD," $ 2,317 ",APPROVED,,GB,ENG,London,TRUE,1,1,0,1,0,0,0
TXN-20260124-000017,ACC-00091094,ACC-00091204,MER-10096,DEV-10143,12:53:21 PM,ECOM,USD, $ 70 ,DECLINED,DO_NOT_HONOR,US,GA,Atlanta,FALSE,0,0,1,0,1,0,0
TXN-20260124-000018,ACC-00091153,ACC-00091004,MER-10053,DEV-10099,10:55:00 AM,CARD_PRESENT,USD, $ 515 ,APPROVED,,NG,LA,Lagos,TRUE,1,1,0,0,0,0,0
TXN-20260124-000019,ACC-00091215,ACC-00091114,MER-10063,DEV-10127,9:09:27 AM,ECOM,USD, $ 126 ,APPROVED,,US,NY,New York,FALSE,0,0,1,0,0,0,0
TXN-20260124-000020,ACC-00091046,ACC-00091083,MER-10062,DEV-10098,9:52:09 AM,ECOM,USD," $ 1,125 ",APPROVED,,US,CO,Denver,FALSE,0,0,0,0,0,0,0
TXN-20260124-000021,ACC-00091016,ACC-00091243,MER-10057,DEV-10033,10:05:00 AM,CARD_PRESENT,USD, $ 99 ,APPROVED,,US,TX,Seattle,FALSE,0,0,0,0,0,0,0
TXN-20260124-000022,ACC-00091142,ACC-00091070,MER-10022,DEV-10179,3:50:29 AM,ECOM,USD, $ 76 ,APPROVED,,US,NY,New York,FALSE,0,0,0,0,0,0,0
TXN-20260124-000023,ACC-00091101,ACC-00091114,MER-10118,DEV-10250,4:06:38 AM,ECOM,USD," $ 2,595 ",APPROVED,,NG,FC,Abuja,TRUE,1,1,0,1,0,0,0
